1,"Velasquez Pyramid","6","42","PR","PR","PR","Colorado Maduro","Mild",
43,"Viva Republica Rapture Revel","5.5","54","DR","BRA/DR/NIC","ECU","Colorado Claro","Medium",
43,"Viva Republica Rapture Revel Maduro","5.5","54","DR","BRA/DR/NIC/PER","MEX","Maduro","Medium-Full",
44,"Vivaldi Gran Reserva Conneticut Toro","6","54","DR","DR","CT","Colorado Claro","Mild",
44,"Vivaldi Gran Reserva Maduro Toro","6","54","DR","DR","SEC","Maduro","Mild",
45,"Vivaldi (Santa Ana Cigars) Robusto","5","50","DR","DR","DR","Colorado Maduro","Medium-Full",
46,"Vivalo Serie Exclusivo Belicoso","5.5","52","NIC","NIC","NIC","Colorado Maduro","Medium",
46,"Vivalo Serie Exclusivo Gordo ","6","60","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
46,"Vivalo Serie Exclusivo Lonsdale ","6","44","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
46,"Vivalo Serie Exclusivo Robusto ","4.875","50","NIC","NIC","NIC","Colorado Maduro","Medium",
46,"Vivalo Serie Exclusivo Robusto Grande","5.5","54","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
46,"Vivalo Serie Exclusivo Toro","6.5","52","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
47,"VMI Seleccion Suprema Corona","5.5","43","DR","DR","CTS","Claro","Mild-Medium",
47,"VMI Seleccion Suprema No. 2","6","50","DR","DR","CTS","Claro","Mild-Medium",
47,"VMI Seleccion Suprema No. 3","7.5","50","DR","DR","CTS","Claro","Mild-Medium",
47,"VMI Seleccion Suprema Robusto","5","50","DR","DR","CTS","Claro","Mild-Medium",
47,"VMI Seleccion Suprema Torpedo","6","53","DR","DR","CTS","Claro","Mild-Medium",
48,"Vogel Green Churchill","7","52","CR","CR","CR","Maduro","Medium-Full",
48,"Vogel Green Corona","6.37","44","CR","CR","CR","Maduro","Medium-Full",
48,"Vogel Green Robusto","5","50","CR","CR","CR","Maduro","Medium-Full",
48,"Vogel Green Toro","6","52","CR","CR","CR","Maduro","Medium-Full",
48,"Vogel Green Torpedo","6","52","CR","CR","CR","Maduro","Medium-Full",
48,"Vogel Red Churchill","7","52","CR","CR","CR","Colorado Maduro","Medium-Full",
48,"Vogel Red Corona","6.37","44","CR","CR","CR","Colorado Maduro","Medium-Full",
48,"Vogel Red Robusto","5","50","CR","CR","CR","Colorado Maduro","Medium-Full",
48,"Vogel Red Toro","6","52","CR","CR","CR","Colorado Maduro","Medium-Full",
48,"Vogel Red Torpedo","6","52","CR","CR","CR","Colorado Maduro","Medium-Full",
49,"Voila Ken Churchill","6.87","46","DR","DR/NIC","ECU","Naturale","Medium",
49,"Voila Ken Corona","5.75","42","DR","DR/NIC","ECU","Naturale","Medium",
49,"Voila Ken Grand Corona","6.5","46","DR","DR/NIC","ECU","Naturale","Medium",
49,"Voila Ken Robusto","5","50","DR","DR/NIC","ECU","Naturale","Medium",
50,"VSOP Belicoso Natural","6","46","DR","DR","INDO","Colorado","Medium",
50,"VSOP Churchill Maduro","7","50","DR","DR","DR","Maduro","Mild-Medium",
50,"VSOP Churchill Natural","7","50","DR","DR","INDO","Colorado","Medium",
50,"VSOP Corona Natural","6","42","DR","DR","INDO","Colorado","Medium",
50,"VSOP Double Corona Natural","7.5","50","DR","DR","INDO","Colorado","Medium",
50,"VSOP Lonsdale Maduro","6.5","44","DR","DR","DR","Maduro","Mild-Medium",
50,"VSOP Lonsdale Natural","6.5","44","DR","DR","INDO","Colorado","Medium",
50,"VSOP Panatela Natural","5.5","38","DR","DR","INDO","Colorado","Medium",
50,"VSOP Robusto Connecticut","5","50","NIC","NIC","CT","Claro","Mild-Medium",
50,"VSOP Robusto Habano","5","50","NIC","NIC","HAB","Colorado Maduro","Medium",
50,"VSOP Robusto Natural","5","50","DR","DR","INDO","Colorado","Medium",
50,"VSOP Shorty Maduro","3.5","60","DR","DR","DR","Maduro","Mild-Medium",
50,"VSOP Shorty Natural","3.5","60","DR","DR","INDO","Naturale","Mild-Medium",
50,"VSOP Shorty Natural Torpedo","3.5","60","DR","DR","INDO","Colorado","Mild-Medium",
50,"VSOP Shorty Torpedo Maduro","3.5","60","DR","DR","DR","Maduro","Mild-Medium",
50,"VSOP Toro Connecticut","6","50","NIC","NIC","CT","Claro","Mild-Medium",
50,"VSOP Toro Habano","6","50","NIC","NIC","HAB","Colorado Maduro","Medium",
50,"VSOP Toro Maduro","6","50","DR","DR","DR","Maduro","Mild-Medium",
50,"VSOP Toro Natural","6","50","DR","DR","INDO","Colorado","Medium",
50,"VSOP Torpedo Maduro ","6.5","52","DR","DR","DR","Maduro","Mild-Medium",
50,"VSOP Torpedo Natural","6.5","52","DR","DR","INDO","Colorado","Medium",
